,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
233,4845000,Lubbock,2,133078,7766583300,1.5028780113918153e-05,116722.27265212883
234,4806244,Bear Creek Ranch,2,1535,87125000,0.0013029315960912053,113517.91530944625
235,4854432,Overton,2,1246,57145600,0.0016051364365971107,91726.48475120385
236,4856000,Pasadena,2,74907,3857031600,2.669977438690643e-05,102981.87352316872
237,4859108,Potosi,2,2516,164327900,0.000794912559618442,130626.31160572339
238,4853115,Oak Leaf,2,917,96237700,0.0021810250817884407,209896.8375136314
239,4806128,Baytown,2,38582,2132224700,5.183764449743404e-05,110529.50598724795
240,4805180,Bacliff,2,5187,273656300,0.000385579332947754,105516.21361095045
241,4847760,Meridian,2,768,45373000,0.0026041666666666665,118158.85416666666
242,4846440,Manor,2,6781,361187400,0.0002949417490045716,106529.2434744138
243,4844162,Lost Creek,2,506,87926200,0.003952569169960474,347534.3873517786
244,4864268,Salado,2,1122,105307900,0.0017825311942959,187714.61675579322
245,4805336,Baird,2,885,45661000,0.0022598870056497176,103188.70056497176
246,4837072,Italy,2,1059,51044900,0.0018885741265344666,96402.07743153919
247,4865564,San Leon,2,2678,174144000,0.0007468259895444362,130055.2651232263
248,4833578,Hideaway,2,1175,162799600,0.001702127659574468,277105.7021276596
249,4802044,Alma,2,229,17794100,0.008733624454148471,155406.98689956332
250,4835492,Huntington,2,1535,66781700,0.0013029315960912053,87011.98697068404
251,4810897,Brushy Creek,2,12865,1079335000,0.00015546055188495918,167794.01476875241
252,4835180,Hubbard,2,534,29038000,0.003745318352059925,108756.55430711611
253,4812580,Canyon Lake,2,13982,1237343200,0.00014304105278214847,176990.8739808325
254,4822132,Eastland,2,1470,117037100,0.0013605442176870747,159234.14965986394
255,4873112,Tioga,2,626,35240000,0.003194888178913738,112587.85942492013
256,4873268,Tolar,2,599,32732800,0.00333889816360601,109291.48580968281
257,4833428,Hewitt,2,8040,511855300,0.0002487562189054726,127327.18905472636
258,4837084,Itasca,2,740,30410100,0.002702702702702703,82189.45945945947
259,4833212,Henderson,2,5263,355087200,0.0003800114003420103,134937.18411552347
260,4825104,Fairfield,2,1328,78761000,0.0015060240963855422,118615.9638554217
261,4832312,Harker Heights,2,16498,1013570000,0.0001212268153715602,122871.86325615227
262,4831964,Hamlin,2,871,41164400,0.002296211251435132,94522.15843857636
263,4810132,Breckenridge,2,2309,126136100,0.0008661758336942399,109256.04157644001
264,4825168,Fair Oaks Ranch,2,4347,748363400,0.00046008741660915573,344312.58339084423
265,4829660,Gladewater,2,2683,135819600,0.0007454342154304882,101244.57696608274
266,4829168,Gatesville,2,3530,233508000,0.0005665722379603399,132299.15014164304
267,4835612,Hutchins,2,1480,72356000,0.0013513513513513514,97778.37837837839
268,4835228,Hudson,2,2190,116463900,0.0009132420091324201,106359.72602739725
269,4837216,Jacksonville,2,6271,273820100,0.0003189284005740711,87329.0065380322
270,4840588,Lake Jackson,2,14535,1118564000,0.00013759889920880633,153913.17509459922
271,4816192,Comanche,2,1841,94166600,0.0010863661053775121,102299.40249864203
272,4842352,Leonard,2,1088,62629000,0.001838235294117647,115126.83823529411
273,4841800,Lavon,2,2698,176028500,0.0007412898443291327,130488.13936249074
274,4879576,Wilmer,2,2783,102156300,0.0007186489399928135,73414.51670858785
275,4841050,Lakewood Village,2,358,37408100,0.00558659217877095,208983.79888268159
276,4810780,Brownwood,2,9326,457681800,0.0002144542140253056,98151.79069268712
277,4838476,Katy,2,11379,966721900,0.00017576236927673784,169913.33157570963
278,4838488,Kaufman,2,3285,168901600,0.0006088280060882801,102832.02435312026
279,4804408,Aspermont,1,520,23098600,0.0019230769230769232,44420.38461538462
280,4801648,Albany,1,754,43770000,0.001326259946949602,58050.39787798408
281,4880296,Wortham,1,469,28924100,0.0021321961620469083,61671.85501066098
282,4880224,Woodway,1,4239,466840000,0.00023590469450342062,110129.74758197689
283,4875308,Vernon,1,5166,224672300,0.00019357336430507162,43490.57297715834
284,4875764,Von Ormy,1,500,23872200,0.002,47744.4
285,4876096,Wake Village,1,3048,192032400,0.00032808398950131233,63002.75590551181
286,4861892,Richmond,1,5659,289005000,0.00017670966601873123,51069.97702774342
287,4879972,Wolfforth,1,2863,176203300,0.00034928396786587494,61544.98777506112
288,4879792,Winnie,1,909,57262800,0.0011001100110011,62995.37953795379
289,4862408,Riverside,1,270,21763200,0.003703703703703704,80604.44444444445
290,4803288,Angus,1,215,10730900,0.004651162790697674,49911.16279069767
291,4862108,Riesel,1,785,43102700,0.0012738853503184713,54907.89808917197
292,4879624,Wimberley,1,1752,128197300,0.0005707762557077625,73171.97488584474
293,4878664,Whitney,1,894,44251000,0.0011185682326621924,49497.76286353468
294,4878436,White Oak,1,3055,199104000,0.0003273322422258593,65173.15875613748
295,4878388,Whitehouse,1,4693,269769500,0.00021308331557639036,57483.37950138504
296,4877416,West Columbia,1,1957,100053600,0.000510986203372509,51126.009197751664
297,4863188,Rosebud,1,614,28245700,0.0016286644951140066,46002.7687296417
298,4874732,Valley Mills,1,647,26452700,0.0015455950540958269,40885.16228748068
299,4871732,Talco,1,195,8696700,0.005128205128205128,44598.46153846154
300,4865648,San Saba,1,1032,51125800,0.0009689922480620155,49540.50387596899
301,4866089,Scenic Oaks,1,3982,507237800,0.00025113008538422905,127382.6720241085
302,4867010,Shadybrook,1,978,67193600,0.0010224948875255625,68705.11247443763
303,4868456,Smithville,1,2123,137119900,0.0004710315591144607,64587.80028261894
304,4869020,South Houston,1,7836,328752900,0.00012761613067891782,41954.1730474732
305,4869908,Stafford,1,9956,562542500,0.0001004419445560466,56502.86259541984
306,4864184,St. Jo,1,338,20076200,0.0029585798816568047,59397.041420118345
307,4864172,St. Hedwig,1,984,91198800,0.0010162601626016261,92681.70731707317
308,4803564,Appleby,1,244,14664400,0.004098360655737705,60100.0
309,4870406,Stockton Bend,1,192,42741800,0.005208333333333333,222613.54166666666
310,4863848,Rusk,1,1504,93031000,0.0006648936170212766,61855.71808510638
311,4803696,Archer City,1,768,50559200,0.0013020833333333333,65832.29166666666
312,4874408,Universal City,1,10409,645029300,9.607070804111827e-05,61968.42155826689
313,4872656,The Woodlands,1,55649,7786550500,1.796977483872127e-05,139922.55925533254
314,4872788,Thornton,1,233,12457400,0.004291845493562232,53465.23605150214
315,4863464,Rotan,1,563,29067500,0.0017761989342806395,51629.66252220249
316,4863332,Rosharon,1,848,48387500,0.0011792452830188679,57060.73113207547
317,4873328,Tom Bean,1,419,26127900,0.002386634844868735,62357.75656324583
318,4863284,Rosenberg,1,18802,966187900,5.318583129454313e-05,51387.50664822891
319,4873424,Tow,1,40,6295500,0.025,157387.5
320,4865600,San Marcos,1,37797,1425959600,2.645712622694923e-05,37726.79313173003
321,4873592,Trenton,1,370,22004500,0.002702702702702703,59471.62162162163
322,4862672,Rockdale,1,2670,167971500,0.0003745318352059925,62910.67415730337
323,4874048,Tuscola,1,311,16637200,0.003215434083601286,53495.81993569132
324,4804504,Athens,1,5538,368619700,0.00018057060310581438,66561.88154568436
325,4814692,Chilton,1,461,102534700,0.0021691973969631237,222418.0043383948
326,4861508,Reklaw,1,160,9290100,0.00625,58063.125
327,4832972,Hearne,1,2141,96055500,0.00046707146193367583,44864.7828117702
328,4826736,Fort Hood,1,16869,518946500,5.928033671231253e-05,30763.323255676092
329,4827420,Freeport,1,4757,226020900,0.00021021652301870928,47513.32772755939
330,4827648,Friendswood,1,20801,2071319300,4.8074611797509735e-05,99577.87125618961
331,4810648,Brookside Village,1,730,49070700,0.0013698630136986301,67220.13698630137
332,4830056,Goldthwaite,1,891,57566800,0.001122334455667789,64609.203142536484
333,4830308,Gorman,1,522,17462300,0.0019157088122605363,33452.681992337166
334,4830380,Graford,1,307,15883100,0.003257328990228013,51736.48208469056
335,4810336,Bristol,1,297,17605600,0.003367003367003367,59278.114478114476
336,4831592,Gun Barrel City,1,2509,207518800,0.00039856516540454366,82709.76484655241
337,4832696,Haskell,1,1324,128158000,0.0007552870090634441,96796.07250755288
338,4834220,Hitchcock,1,3368,225105600,0.0002969121140142518,66836.57957244656
339,4861040,Redfield,1,76,36929200,0.013157894736842105,485910.52631578944
340,4834856,Hornsby Bend,1,5425,341807300,0.00018433179723502304,63005.95391705069
341,4834862,Horseshoe Bay,1,1817,277297700,0.000550357732526142,152612.93340671435
342,4835084,Howe,1,1793,86123900,0.0005577244841048522,48033.40769659788
343,4835204,Huckabay,1,156,5888100,0.00641025641025641,37744.230769230766
344,4835348,Humble,1,9048,411609000,0.00011052166224580017,45491.71087533156
345,4835480,Hunters Creek Village,1,1878,722775600,0.0005324813631522897,384864.5367412141
346,4835624,Hutto,1,16200,918828600,6.17283950617284e-05,56717.81481481482
347,4837168,Jacksboro,1,1302,90973500,0.0007680491551459293,69872.11981566821
348,4837612,Jersey Village,1,4264,376769900,0.00023452157598499062,88360.67073170732
349,4838068,Josephine,1,1302,88218900,0.0007680491551459293,67756.45161290323
350,4826680,Fort Clark Springs,1,568,49446100,0.0017605633802816902,87052.99295774648
351,4810960,Bryson,1,329,17373500,0.00303951367781155,52806.990881458965
352,4826004,Flat,1,173,12483700,0.005780346820809248,72160.11560693641
353,4811464,Burnet,1,3123,209453600,0.0003202049311559398,67068.07556836374
354,4815916,Coleman,1,1832,87090800,0.0005458515283842794,47538.6462882096
355,4816120,Colorado City,1,1882,90914700,0.0005313496280552603,48307.49202975557
356,4816552,Coolidge,1,334,17839600,0.0029940119760479044,53411.976047904194
